bowler,bowling_style,total_deliveries,avg_speed,speed_variability,avg_swing,speed_rank,swing_rank
Alzarri Joseph,FAST_SEAM,3696,135.31,5.16,0.244,67,66
Nuwan Pradeep,FAST_SEAM,6708,135.3,5.81,0.156,68,242
Josh Hazlewood,FAST_SEAM,12880,135.3,4.64,0.182,69,192
Duanne Olivier,FAST_SEAM,1568,135.24,4.18,0.26,70,41
Rahat Ali,,680,135.23,5.47,-0.211,71,667
Jade Dernbach,,334,135.16,8.95,0.251,72,56
Taskin Ahmed,,1515,135.07,8.16,0.189,73,180
Boyd Rankin,FAST_SEAM,2046,135.02,6.79,0.234,74,82
Doug Bracewell,SEAM,587,135.01,4.55,0.206,75,124
Steven Finn,,2033,135.0,6.16,0.179,76,199
Abu Nechim,MEDIUM_SEAM,220,134.9,4.9,0.08,77,393
Dane Paterson,FAST_SEAM,213,134.85,4.22,0.194,78,158
Ishant Sharma,FAST_SEAM,12779,134.79,5.43,0.183,79,188
Hardus Viljoen,SEAM,146,134.77,7.43,0.188,80,182
Shanthakumaran Sreesanth,SEAM,218,134.76,6.23,0.094,81,364
Mohammad Naveed,MEDIUM_SEAM,630,134.71,4.42,0.241,82,72
Pradeep Sangwan,SEAM,198,134.69,6.57,-0.193,83,660
Rubel Hossain,FAST_SEAM,4259,134.68,6.15,0.222,84,102
Liam Plunkett,FAST_SEAM,4169,134.65,6.63,0.078,85,394
Beuran Hendricks,FAST_SEAM,288,134.6,8.35,-0.109,86,612
Asitha Fernando,,63,134.59,2.86,0.143,87,259
Ben Stokes,FAST_SEAM,11952,134.58,6.63,0.205,88,134
Jake Ball,FAST_SEAM,1594,134.57,6.12,0.206,89,130
Junaid Khan,FAST_SEAM,6067,134.51,4.8,-0.073,90,585
Andre Russell,FAST_SEAM,2540,134.51,8.07,0.193,91,159
Shaminda Eranga,,620,134.4,6.46,0.18,92,198
Trent Boult,FAST_SEAM,18036,134.38,5.87,-0.083,93,596
Mohammad Amir,FAST_SEAM,7022,134.36,5.7,-0.192,94,657
Hasan Ali,MEDIUM_SEAM,4730,134.36,5.58,0.118,95,313
Avesh Khan,FAST_SEAM,568,134.34,7.22,0.182,96,189
Chris Woakes,FAST_SEAM,9907,134.32,6.8,0.19,97,174
Wafadar Momand,MEDIUM_SEAM,225,134.26,4.34,0.299,98,19
Stuart Broad,FAST_SEAM,17293,134.18,4.58,0.157,99,235
Sohail Khan,,429,134.13,6.99,0.077,100,399
Dawlat Zadran,FAST_SEAM,2561,134.08,8.41,0.178,101,203
Miguel Cummins,,433,134.07,4.3,0.264,102,39
Kyle Abbott,,1438,133.99,5.92,0.214,103,113
Peter Siddle,FAST_SEAM,7393,133.94,4.7,0.137,104,273
RP Singh,SEAM,587,133.92,4.47,-0.193,105,659
Ravi Rampaul,FAST_SEAM,1323,133.91,6.52,0.183,106,187
James Anderson,FAST_SEAM,17909,133.88,4.98,0.128,107,291
Matt Henry,FAST_SEAM,5079,133.85,5.35,0.181,108,197
Daniel Worrall,,162,133.83,8.21,0.085,109,382
Doug Bollinger,SEAM,113,133.83,7.8,-0.276,110,683
Kulwant Khejroliya,FAST_SEAM,101,133.72,7.33,-0.268,111,680
Shardul Thakur,MEDIUM_SEAM,1863,133.6,6.83,0.105,112,338
Shapoor Zadran,FAST_SEAM,649,133.59,5.48,-0.06,113,575
Chris Tremlett,,77,133.57,5.07,0.19,114,172
Kemar Roach,FAST_SEAM,8966,133.52,5.31,0.194,115,155
Lungi Ngidi,FAST_SEAM,2210,133.49,7.75,0.251,116,57
Ankit Rajpoot,SEAM,567,133.42,7.84,0.174,117,208
Junior Dala,MEDIUM_SEAM,127,133.4,7.93,0.252,118,55
Joel Paris,,98,133.31,3.3,-0.439,119,691
Scott Boland,,774,133.26,5.7,0.267,120,36
Ashok Dinda,SEAM,1096,133.23,8.24,0.128,121,294
Aniket Choudhary,SEAM,108,133.17,6.62,-0.175,122,645
Domnic Joseph,SEAM,84,133.13,6.17,0.139,123,269
Jhye Richardson,FAST_SEAM,1037,132.95,9.74,0.255,124,49
Manpreet Gony,SEAM,341,132.92,6.85,0.174,125,209
Rahul Shukla,SEAM,130,132.9,8.24,0.115,126,318
Yamin Ahmadzai,MEDIUM_SEAM,388,132.86,3.54,0.184,127,185
Kamrul Islam,MEDIUM_SEAM,758,132.86,3.89,0.116,128,317
Vishwa Fernando,MEDIUM_SEAM,1863,132.83,4.54,-0.27,129,681
Kane Richardson,FAST_SEAM,1629,132.8,8.2,0.242,130,70
T Natarajan,MEDIUM_SEAM,588,132.78,5.98,-0.181,131,647
Chris Sole,,157,132.75,4.41,0.371,132,6
Ashish Nehra,MEDIUM_SEAM,1426,132.74,6.41,-0.203,133,665
Rory Kleinveldt,,355,132.56,5.53,0.102,134,346
Chris Tremain,,249,132.54,7.7,0.061,135,428
Ebadot Hossain,FAST_SEAM,713,132.45,4.92,0.239,136,74
Willem Mulder - Duplicate,MEDIUM_SEAM,50,132.4,4.16,0.088,137,374
Tim Southee,MEDIUM_SEAM,15749,132.25,6.06,0.131,138,287
Imran Khan,MEDIUM_SEAM,1502,132.23,3.84,0.269,139,34
Khaled Ahmed,MEDIUM_SEAM,362,132.07,3.5,0.167,140,219
Basil Thampi,MEDIUM_SEAM,437,131.99,13.06,0.138,141,270
Kyle Jamieson,MEDIUM_SEAM,705,131.96,5.76,0.158,142,230
Hardik Pandya,MEDIUM_SEAM,4380,131.93,6.69,0.241,143,71
Ryan McLaren,,1795,131.9,6.1,0.194,144,154
Khaleel Ahmed,MEDIUM_SEAM,1063,131.82,7.75,-0.176,145,646
Hasan Mahmud,MEDIUM_SEAM,94,131.78,6.33,0.136,146,274
Juan Theron,MEDIUM_SEAM,77,131.75,13.59,0.203,147,139
Subashis Roy,MEDIUM_SEAM,820,131.7,3.46,0.236,148,78
Albie Morkel,SEAM,736,131.69,8.39,0.182,149,194
Faheem Ashraf,MEDIUM_SEAM,1659,131.68,5.32,0.278,150,28
Suranga Lakmal,FAST_SEAM,12555,131.68,4.88,0.089,151,372
Mitchell McClenaghan,,3663,131.63,7.69,-0.118,152,620
Tim Bresnan,,1399,131.57,6.88,0.307,153,15
Tymal Mills,SEAM,111,131.54,15.3,0.048,154,447
Ishwar Pandey,SEAM,469,131.54,5.7,0.075,155,402
Kasun Rajitha,MEDIUM_SEAM,1535,131.5,7.32,0.145,156,254
Lasith Malinga,FAST_SEAM,6899,131.49,8.85,0.015,157,491
Neil Wagner,MEDIUM_SEAM,8289,131.44,4.42,-0.055,158,570
Sheldon Cottrell,FAST_SEAM,1693,131.37,8.32,-0.074,159,586
Zaheer Khan,FAST_SEAM,3433,131.3,6.26,-0.079,160,592
Craig Overton,MEDIUM_SEAM,754,131.26,3.54,0.109,161,335
Mir Hamza,MEDIUM_SEAM,90,131.25,3.0,-0.08,162,593
Jacques Kallis,FAST_SEAM,1991,131.08,5.54,0.206,163,127
Peter Chase,,1132,130.98,5.82,0.221,164,103
Brian Vitori,,778,130.97,4.18,-0.187,165,653
Craig Young,FAST_SEAM,584,130.88,8.11,0.14,166,267
Ajit Agarkar,FAST_SEAM,153,130.87,6.14,0.179,167,201
Jimmy Neesham,MEDIUM_SEAM,3092,130.86,6.99,0.199,168,145
Joe Mennie,,122,130.83,5.23,0.253,169,54
Siddarth Kaul,MEDIUM_SEAM,1377,130.69,8.17,0.204,170,136
Bhuvneshwar Kumar,MEDIUM_SEAM,12115,130.61,6.17,0.189,171,179
Alfonso Thomas,SEAM,87,130.58,10.93,0.238,172,76
Mitchell Marsh,MEDIUM_SEAM,4777,130.56,5.7,0.122,173,306
Sherman Lewis,FAST_SEAM,241,130.5,3.82,0.226,174,94
Dhawal Kulkarni,MEDIUM_SEAM,1999,130.48,8.95,0.164,175,220
Gurinder Sandhu,,171,130.45,8.3,0.182,176,193
Shane Watson,MEDIUM_SEAM,4570,130.44,5.61,0.163,177,221
Blessing Muzarabani,FAST_SEAM,648,130.38,4.95,0.223,178,99
John Hastings,SEAM,1020,130.38,8.3,0.19,179,170
Ben Wheeler,,319,130.37,5.72,-0.076,180,587
Scott Kuggeleijn,FAST_SEAM,137,130.2,8.62,0.386,181,5
Jason Behrendorff,FAST_SEAM,719,130.14,6.41,-0.213,182,669
Rumman Raees,,475,130.09,7.27,-0.131,183,632
Shingi Masakadza,,232,130.05,6.5,0.075,184,403
Abul Hasan,MEDIUM_SEAM,134,130.01,6.79,0.249,185,61
Michael Neser,SEAM,127,129.93,5.91,0.209,186,119
Alasdair Evans,MEDIUM_SEAM,570,129.91,5.78,0.141,187,264
Ben Cutting,FAST_SEAM,508,129.89,9.48,0.153,188,245
Henry Osinde,,231,129.88,4.97,0.022,189,479
Iain Wardlaw,,270,129.85,5.1,0.094,190,363
Obed McCoy,,87,129.82,8.03,-0.284,191,684
Nehemiah Odhiambo,,271,129.75,8.44,0.226,192,96
Joshua Little,FAST_SEAM,386,129.65,6.69,-0.239,193,675
Carl Mumba,FAST_SEAM,531,129.6,7.22,0.202,194,140
David Willey,FAST_SEAM,2237,129.58,5.82,-0.147,195,640
Prasanth Parameswaran DUPLICATE,SEAM,62,129.57,7.72,-0.185,196,651
Pankaj Singh,SEAM,127,129.55,8.69,0.064,197,421
Aftab Alam,MEDIUM_SEAM,818,129.54,6.54,0.177,198,206
Vernon Philander,FAST_SEAM,9753,129.51,4.03,0.064,199,420
Krishnakant Upadhyay,SEAM,56,129.51,8.66,0.191,200,165
Barinder Sran,SEAM,833,129.47,11.02,-0.187,201,654
Mohit Sharma,SEAM,2948,129.45,10.82,0.064,202,422
Munaf Patel,SEAM,821,129.4,7.55,0.09,203,368
Shafiul Islam,FAST_SEAM,1453,129.38,6.14,0.197,204,148
Keon Harding,,69,129.32,7.38,0.279,205,27
Asad Ali,,123,129.29,4.74,0.146,206,253
Mustafizur Rahman,FAST_SEAM,5771,129.24,6.61,-0.273,207,682
Lahiru Gamage,,418,129.24,5.39,0.253,208,52
Reece Topley,,643,129.15,8.22,-0.108,209,611
Vinay Kumar,SEAM,1738,129.1,8.05,0.026,210,470
Deepak Chahar,MEDIUM_SEAM,1516,129.09,7.18,0.123,211,303
Yo Mahesh,SEAM,61,129.02,5.18,0.046,212,452
Elijah Otieno,,258,128.84,7.72,0.259,213,43
Wiaan Mulder,MEDIUM_SEAM,474,128.82,5.07,-0.002,214,518
Jason Holder,MEDIUM_SEAM,12641,128.82,4.79,0.2,215,143
Sam Curran,MEDIUM_SEAM,2218,128.81,5.44,-0.077,216,588
Anureet Singh,SEAM,396,128.8,7.18,0.08,217,392
Arshdeep Singh,MEDIUM_SEAM,486,128.73,8.19,-0.115,218,617
Curtis Campher,MEDIUM_SEAM,180,128.71,6.36,0.189,219,178
Corey Anderson,,1865,128.59,7.26,-0.029,220,546
Taurai Muzarabani,,328,128.58,2.89,0.189,221,177
Kyle Mills,FAST_SEAM,1294,128.55,5.34,0.23,222,87
Harry Gurney,,625,128.52,10.44,-0.12,223,623
Al-Amin Hossain,MEDIUM_SEAM,1639,128.49,4.7,0.299,224,17
Abdul Razzaq,FAST_SEAM,229,128.46,2.76,0.219,225,106
Clint McKay,SEAM,1354,128.44,7.45,0.199,226,146
James Faulkner,SEAM,4507,128.43,8.55,-0.133,227,634
Anwar Ali,,941,128.41,6.96,0.187,228,184
Lonwabo Tsotsobe,,1133,128.34,5.94,-0.343,229,688
Abu Hider,,109,128.31,6.3,0.009,230,503
George Garton,SEAM,97,128.31,9.2,-0.235,231,673
Thisara Perera,MEDIUM_SEAM,4711,128.13,8.4,0.126,232,296
Mohammad Abbas,MEDIUM_SEAM,3615,128.1,4.57,0.14,233,266
Laxmi Ratan Shukla,SEAM,88,127.81,7.75,0.201,234,142
Rob Taylor,,116,127.7,2.88,-0.255,235,679
Sohail Tanvir,,583,127.68,7.25,-0.154,236,641
Harshal Patel,MEDIUM_SEAM,1327,127.67,9.04,0.191,237,168
Tendai Chatara,FAST_SEAM,4511,127.65,6.92,0.299,238,18
Sreenath Aravind,MEDIUM_SEAM,500,127.61,6.2,-0.147,239,639
Jacob Oram,FAST_SEAM,328,127.6,5.24,0.2,240,144
Chris Martin,FAST_SEAM,118,127.55,3.31,0.163,241,224
Richard Ngarava,,402,127.55,4.4,-0.122,242,624
Solomon Mire,,437,127.39,7.63,0.23,243,85
Anand Rajan,SEAM,127,127.38,8.37,0.174,244,212
Andile Phehlukwayo,MEDIUM_SEAM,2360,127.18,8.06,0.145,245,256
Mark Adair,FAST_SEAM,582,127.15,6.26,0.081,246,387
Lakshmipathy Balaji,SEAM,710,127.1,7.32,0.273,247,30
Amjad Javed,,380,126.99,4.66,0.053,248,438
Marcus Stoinis,MEDIUM_SEAM,2054,126.94,7.97,0.23,249,88
Elton Chigumbura,,632,126.93,4.07,0.256,250,48
Keemo Paul,FAST_SEAM,1000,126.92,9.08,0.096,251,358
Chris Mpofu,FAST_SEAM,2050,126.84,6.7,0.027,252,469
Kyle Jarvis,FAST_SEAM,1875,126.83,5.99,0.148,253,250
Ben Laughlin,SEAM,179,126.82,9.54,0.097,254,355
Dwaine Pretorius,MEDIUM_SEAM,1006,126.8,5.49,0.156,255,240
Carlos Brathwaite,MEDIUM_SEAM,2309,126.76,8.1,0.225,256,97
Irfan Pathan,MEDIUM_SEAM,885,126.66,9.39,-0.132,257,633
Tom Curran,FAST_SEAM,1602,126.65,9.82,0.216,258,109
Stuart Thompson,MEDIUM_SEAM,862,126.64,4.7,0.243,259,68
Daniel Sams,FAST_SEAM,115,126.59,9.37,-0.315,260,686
Abu Jayed,FAST_SEAM,1571,126.48,4.25,0.1,261,350
Moises Henriques,MEDIUM_SEAM,1475,126.41,7.82,0.178,262,202
Mirwais Ashraf,,927,126.35,3.83,0.288,263,24
Sandeep Sharma,MEDIUM_SEAM,2273,126.31,7.48,0.121,264,308
TP Sudhindra,SEAM,74,126.28,9.41,0.062,265,427
Safyaan Sharif,MEDIUM_SEAM,316,126.28,6.49,0.191,266,167
Barry McCarthy,MEDIUM_SEAM,1226,126.26,8.41,0.132,267,284
Trent Johnston,,337,126.12,7.52,0.196,268,150
Neville Madziva,,548,126.06,3.43,0.204,269,135
Vikramjeet Malik,SEAM,80,126.01,8.2,0.226,270,93
Dwayne Smith,SEAM,498,126.0,6.01,0.234,271,81
Max Sorensen,,190,125.92,5.07,0.151,272,247
Ehsan Nawaz,,76,125.83,5.91,0.288,273,25
Andrew Tye,MEDIUM_SEAM,1045,125.64,9.16,0.19,274,173
Donald Tiripano,FAST_SEAM,2225,125.49,4.87,0.169,275,214
Nuwan Kulasekara,FAST_SEAM,3187,125.42,6.13,0.215,276,111
Tinashe Panyangara,,2088,125.38,6.68,0.233,277,84
Mudassar Bukhari,,417,125.23,5.04,0.206,278,126
Praveen Kumar,SEAM,1479,125.2,6.65,0.078,279,396
Dan Christian,MEDIUM_SEAM,706,125.18,10.11,0.147,280,251
Azhar Mahmood,SEAM,552,125.0,8.26,0.21,281,118
Mohammad Saifuddin,MEDIUM_SEAM,997,124.98,8.79,0.272,282,31
Jaydev Unadkat,MEDIUM_SEAM,1960,124.92,9.4,-0.216,283,670
Charlton Tshuma,FAST_SEAM,150,124.86,3.78,0.181,284,195
Kevon Cooper,SEAM,600,124.62,11.28,0.227,285,91
Dilhara Lokuhettige,,51,124.61,3.72,0.246,286,64
Luke Wright,SEAM,124,124.6,7.6,0.202,287,141
Khurram Chohan,,176,124.58,6.7,0.205,288,132
Vijay Shankar,MEDIUM_SEAM,489,124.47,7.69,0.085,289,384
Kesrick Williams,MEDIUM_SEAM,209,124.45,11.57,0.362,290,7
Dwayne Bravo,MEDIUM_SEAM,3822,124.37,12.24,0.138,291,271
Harvir Baidwan,,337,124.26,7.61,0.118,292,314
Dasun Shanaka,MEDIUM_SEAM,770,124.07,6.5,0.174,293,210
Chetan Sakariya,FAST_SEAM,334,124.05,8.81,-0.188,294,656
David Wiese,MEDIUM_SEAM,587,123.87,7.21,0.295,295,21
Ziaur Rahman,,202,123.78,6.34,0.259,296,44
Aizaz Khan,,71,123.72,5.26,0.271,297,32
Stuart Binny,SEAM,1083,123.49,8.34,0.124,298,302
John Mooney,,719,123.43,8.26,0.243,299,67
Josh Davey,MEDIUM_SEAM,372,123.24,5.61,0.157,300,236
Angelo Mathews,MEDIUM_SEAM,6068,123.2,6.61,0.215,301,110
Jonathan Carter,MEDIUM_SEAM,143,122.91,7.65,0.125,302,299
Ariful Haque,FAST_SEAM,84,122.84,3.77,0.245,303,65
Mashrafe Mortaza,FAST_SEAM,4303,122.72,6.18,0.192,304,163
Isuru Udana,MEDIUM_SEAM,787,122.71,12.7,-0.207,305,666
James Franklin,SEAM,366,122.67,6.35,-0.078,306,591
Peter Ongondo,,82,122.62,4.52,0.119,307,309
Alex Cusack,,401,122.32,8.12,0.255,308,50
Rishi Dhawan,SEAM,668,122.3,9.3,0.208,309,121
Shivam Dube,MEDIUM_SEAM,144,122.15,4.94,0.213,310,114
Kyle Mayers,,55,121.9,3.2,-0.114,311,616
Colin de Grandhomme,MEDIUM_SEAM,4179,121.84,5.37,0.114,312,321
Nathan Ellis,MEDIUM_SEAM,74,121.8,14.99,0.114,313,322
James Vince,MEDIUM_SEAM,67,121.6,4.7,0.22,314,105
Lahiru Madushanka,FAST_SEAM,148,121.4,8.4,0.155,315,244
Dimitri Mascarenhas,SEAM,121,121.26,6.33,0.283,316,26
Darren Sammy,SEAM,1810,121.21,7.62,0.194,317,156
Ravi Bopara,,1074,121.19,9.4,0.235,318,80
Berend Westdijk,,146,121.07,6.4,0.221,319,104
Thomas Odoyo,MEDIUM_SEAM,157,120.74,7.94,0.151,320,246
Venkatesh Iyer,FAST_SEAM,54,120.53,12.5,0.005,321,511
Chamu Chibhabha,MEDIUM_SEAM,1041,120.44,6.83,0.182,322,191
Tim Murtagh,,1950,120.31,4.49,0.233,323,83
Manjula Guruge,,174,120.09,5.77,-0.25,324,677
Siddharth Trivedi,SEAM,692,119.9,8.97,0.174,325,211
Ryan ten Doeschate,SEAM,402,119.54,7.51,0.267,326,37
Victor Nyauchi,FAST_SEAM,165,119.33,10.86,0.099,327,354
Keaton Jennings,MEDIUM_SEAM,73,119.22,5.91,0.134,328,279
Amit Singh,SEAM,204,119.21,9.88,0.248,329,63
Raymon Reifer,MEDIUM_SEAM,329,119.1,7.4,-0.039,330,556
Temba Bavuma,MEDIUM_SEAM,98,119.05,7.75,0.269,331,33
Rovman Powell,MEDIUM_SEAM,204,118.87,2.81,0.205,332,133
Soumya Sarkar,MEDIUM_SEAM,836,118.75,7.67,0.136,333,276
Harmeet Singh Bansal,SEAM,192,118.68,10.79,0.125,334,298
Richie Berrington,MEDIUM_SEAM,309,118.53,5.62,0.086,335,379
Andrew McDonald,SEAM,73,118.52,7.71,0.109,336,334
Gulbadin Naib,MEDIUM_SEAM,1814,118.21,10.94,0.091,337,366
Kevin O'Brien,MEDIUM_SEAM,1800,117.93,5.3,0.038,338,457
Farveez Maharoof,FAST_SEAM,215,117.42,10.7,0.08,339,391
AB de Villiers,MEDIUM_SEAM,195,117.41,5.92,0.129,340,290
Bernardus Loots,,170,117.14,6.2,0.02,341,480
Tawanda Mupariwa,,253,116.95,7.79,0.191,342,166
Jesse Ryder,SEAM,158,116.87,7.81,0.182,343,190
Younis Khan,MEDIUM_SEAM,120,116.63,1.94,0.052,344,439
Naveen-ul-Haq,MEDIUM_SEAM,275,115.73,11.87,0.352,345,9
Tayla Vlaeminck,FAST_SEAM,68,115.45,3.36,0.268,346,35
Shan Masood,MEDIUM_SEAM,79,115.18,2.72,0.181,347,196
Andre Botha,,115,114.82,5.43,0.302,348,16
Rizwan Cheema,,250,114.57,6.42,0.11,349,331
Kieron Pollard,MEDIUM_SEAM,1874,114.56,9.31,0.297,350,20
Ashish Reddy,SEAM,251,114.41,12.68,0.107,351,337
Scott Styris,MEDIUM_SEAM,173,114.35,8.04,0.131,352,289
Peter Borren,,187,114.05,7.58,0.217,353,108
Abhishek Nayar,SEAM,56,113.64,9.02,0.093,354,365
Shabnim Ismail,FAST_SEAM,60,113.35,6.15,0.123,355,304
Grant Elliott,,713,113.2,8.39,-0.032,356,550
Colin Munro,MEDIUM_SEAM,640,112.66,8.4,0.102,357,347
Michael Hussey,MEDIUM_SEAM,81,112.66,9.32,0.158,358,233
Marizanne Kapp,FAST_SEAM,64,112.64,3.36,0.055,359,436
Farhaan Behardien,,698,112.09,6.75,0.163,360,222
Dimuth Karunaratne,MEDIUM_SEAM,253,112.0,3.51,0.167,361,218
Lea Tahuhu,FAST_SEAM,123,111.93,4.43,0.01,362,502
Ellyse Perry,FAST_SEAM,482,111.79,3.74,0.134,363,280
Hamilton Masakadza,MEDIUM_SEAM,1314,111.47,5.56,0.218,364,107
Krishmar Santokie,SEAM,51,111.34,11.32,-0.183,365,649
Katherine Brunt,FAST_SEAM,1017,111.04,5.86,0.08,366,390
Krishna Karate,,151,109.23,7.94,0.07,367,413
Pooja Vastrakar,MEDIUM_SEAM,104,108.23,3.72,0.207,368,122
Jhulan Goswami,FAST_SEAM,738,108.18,4.02,0.109,369,333
Sourav Ganguly,MEDIUM_SEAM,61,108.1,9.28,0.142,370,262
Mansi Joshi,MEDIUM_SEAM,69,107.7,2.16,-0.004,371,521
Theunis de Bruyn,MEDIUM_SEAM,103,106.72,17.51,0.162,372,225
Lahiru Thirimanne,MEDIUM_SEAM,149,106.4,4.04,0.314,373,12
Kate Cross,FAST_SEAM,352,106.33,3.59,0.113,374,326
Brendon McCullum,MEDIUM_SEAM,140,106.28,6.23,0.248,375,62
Anya Shrubsole,MEDIUM_SEAM,829,106.27,5.29,0.142,376,261
Lendl Simmons,,85,105.5,5.28,0.257,377,46
Virat Kohli,MEDIUM_SEAM,505,104.7,6.17,0.178,378,204
Deandra Dottin,FAST_SEAM,111,104.61,13.04,0.158,379,231
Jahanara Alam,MEDIUM_SEAM,78,104.34,5.34,0.086,380,381
Ayabonga Khaka,MEDIUM_SEAM,112,103.82,7.1,0.081,381,388
Shikha Pandey,MEDIUM_SEAM,417,103.64,3.79,0.167,382,217
Rajat Bhatia,SEAM,1102,103.28,9.81,0.115,383,320
Sophie Devine,MEDIUM_SEAM,87,102.5,7.42,0.038,384,459
Shakera Selman,MEDIUM_SEAM,138,101.5,6.21,0.133,385,282
Natalie Sciver,MEDIUM_SEAM,562,101.22,5.94,0.203,386,137
Rajagopal Sathish,SEAM,62,100.56,12.72,0.205,387,131
Delissa Kimmince,MEDIUM_SEAM,90,99.88,6.09,0.087,388,378
Diana Baig,MEDIUM_SEAM,60,99.46,2.65,0.048,389,445
Megan Schutt,FAST_SEAM,567,99.14,5.03,0.239,390,73
Paul Collingwood,MEDIUM_SEAM,138,98.98,8.69,0.017,391,488
Hayden Walsh,LEG_SPIN,79,98.82,15.84,0.097,392,357
Lalit Yadav,OFF_SPIN,84,98.13,4.95,0.073,393,406
Georgia Elwiss,MEDIUM_SEAM,123,97.94,4.87,0.014,394,494
Suzie Bates,MEDIUM_SEAM,173,97.79,3.11,0.051,395,441
