delivery_id,format,match_id,delivery_str,innings,over_num,ball_in_over,bowler,bowler_id,bowling_style,right_armed_bowl,batter,batter_id,right_handed_bat,non_striker,non_striker_id,matchup,ball_speed_ms,ball_speed_kmh,pitch_x,pitch_y,stumps_x,stumps_y,field_x,field_y,lateral_swing,stumps_off_centre,pitch_off_centre,length_from_batter,delivery_type,height_class,ball_age_overs,ball_age_since_replacement,ball_id_within_innings,ball_phase,ball_type,is_new_ball_period,runs,batter_runs,bowler_runs,extras,is_wide,is_no_ball,is_leg_bye,is_bye,dismissal_details,batter_is_right,bowler_is_right,has_pitch_xy,has_stumps_xy,has_speed,has_trajectory,venue,city,country,match_date,temperature_c,humidity_pct,wind_speed_kmh,wind_direction_deg,cloud_cover_pct,precipitation_mm,pressure_hpa,pitch_type,pitch_condition,venue_join_confidence,weather_available,ball_num_seq
IPL_Men_2_1.2.4,IPL_Men,2,1.2.4,1,2,4,Abu Nechim,98,MEDIUM_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,37.199,133.9164,-0.117,5.494,0.03,0.699,55.0,60.0,0.14700000000000002,0.03,0.117,14.626000000000001,yorker,hip,2.6666666666666665,2.6666666666666665,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,3
IPL_Men_2_1.2.5,IPL_Men,2,1.2.5,1,2,5,Abu Nechim,98,MEDIUM_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,38.521,138.6756,-0.222,8.35,-0.155,0.999,33.0,34.0,0.067,0.155,0.222,11.770000000000001,good_length,waist,2.8333333333333335,2.8333333333333335,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,4
IPL_Men_2_1.2.6,IPL_Men,2,1.2.6,1,2,6,Abu Nechim,98,MEDIUM_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,38.039,136.9404,-0.214,10.001,-0.046,0.982,89.0,44.0,0.16799999999999998,0.046,0.214,10.119000000000002,good_length,waist,3.0,3.0,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,5
IPL_Men_2_1.2.7,IPL_Men,2,1.2.7,1,2,7,Abu Nechim,98,MEDIUM_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,38.581,138.8916,0.015,8.323,0.429,0.917,90.0,25.0,0.414,0.429,0.015,11.797,good_length,waist,3.166666666666667,3.166666666666667,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,6
IPL_Men_2_1.3.1,IPL_Men,2,1.3.1,1,3,1,Lasith Malinga,211,FAST_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,39.775,143.19,0.227,8.032,0.452,0.809,88.0,51.0,0.225,0.452,0.227,12.088000000000001,good_length,waist,3.1666666666666665,3.1666666666666665,A,powerplay,Kookaburra_Pink,1,3.0,3,3,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.3.2,IPL_Men,2,1.3.2,1,3,2,Lasith Malinga,211,FAST_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,39.535,142.326,-0.17,9.349,-0.269,0.959,35.0,26.0,-0.099,0.269,0.17,10.771,good_length,waist,3.3333333333333335,3.3333333333333335,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,2
IPL_Men_2_1.3.3,IPL_Men,2,1.3.3,1,3,3,Lasith Malinga,211,FAST_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,34.722,124.9992,-0.131,7.344,-0.098,0.797,37.0,37.0,0.033,0.098,0.131,12.776,full,hip,3.5,3.5,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,3
IPL_Men_2_1.3.4,IPL_Men,2,1.3.4,1,3,4,Lasith Malinga,211,FAST_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,34.975,125.91000000000001,-0.372,8.169,-0.326,0.747,34.0,36.0,0.045999999999999985,0.326,0.372,11.951,good_length,hip,3.6666666666666665,3.6666666666666665,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,4
IPL_Men_2_1.3.5,IPL_Men,2,1.3.5,1,3,5,Lasith Malinga,211,FAST_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,40.015,144.054,-0.081,5.499,-0.082,0.465,36.0,58.0,-0.0010000000000000009,0.082,0.081,14.621000000000002,yorker,knee,3.8333333333333335,3.8333333333333335,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,5
IPL_Men_2_1.3.6,IPL_Men,2,1.3.6,1,3,6,Lasith Malinga,211,FAST_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,38.597,138.94920000000002,-0.081,5.499,-0.082,0.465,5.0,5.0,-0.0010000000000000009,0.082,0.081,14.621000000000002,yorker,knee,4.0,4.0,A,powerplay,Kookaburra_Pink,1,1.0,0,1,Wd,1,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,6
IPL_Men_2_1.3.7,IPL_Men,2,1.3.7,1,3,7,Lasith Malinga,211,FAST_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,40.069,144.2484,0.14,11.499,0.677,1.04,77.0,15.0,0.537,0.677,0.14,8.621,short_of_length,waist,4.166666666666667,4.166666666666667,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,6
IPL_Men_2_1.4.1,IPL_Men,2,1.4.1,1,4,1,Abu Nechim,98,MEDIUM_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,37.979,136.7244,-0.199,9.455,-0.04,0.872,5.0,5.0,0.159,0.04,0.199,10.665000000000001,good_length,waist,4.166666666666667,4.166666666666667,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.4.2,IPL_Men,2,1.4.2,1,4,2,Abu Nechim,98,MEDIUM_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,39.703,142.9308,-0.051,8.719,0.233,0.909,12.0,27.0,0.28400000000000003,0.233,0.051,11.401000000000002,good_length,waist,4.333333333333333,4.333333333333333,A,powerplay,Kookaburra_Pink,1,2.0,2,2,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,2
IPL_Men_2_1.4.3,IPL_Men,2,1.4.3,1,4,3,Abu Nechim,98,MEDIUM_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,38.435,138.366,0.056,5.756,0.255,0.624,78.0,86.0,0.199,0.255,0.056,14.364,full,hip,4.5,4.5,A,powerplay,Kookaburra_Pink,1,6.0,6,6,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,3
IPL_Men_2_1.4.4,IPL_Men,2,1.4.4,1,4,4,Abu Nechim,98,MEDIUM_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,38.344,138.0384,-0.172,9.762,0.003,0.939,75.0,17.0,0.175,0.003,0.172,10.358,good_length,waist,4.666666666666667,4.666666666666667,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,4
IPL_Men_2_1.4.5,IPL_Men,2,1.4.5,1,4,5,Abu Nechim,98,MEDIUM_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,37.921,136.5156,-0.56,10.413,-0.714,1.555,5.0,5.0,-0.15399999999999991,0.714,0.56,9.707,good_length,head,4.833333333333333,4.833333333333333,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,5
IPL_Men_2_1.4.6,IPL_Men,2,1.4.6,1,4,6,Abu Nechim,98,MEDIUM_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,38.426,138.33360000000002,-0.432,10.85,-0.503,1.065,69.0,91.0,-0.07100000000000001,0.503,0.432,9.270000000000001,good_length,waist,5.0,5.0,A,powerplay,Kookaburra_Pink,1,4.0,4,4,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,6
IPL_Men_2_1.5.1,IPL_Men,2,1.5.1,1,5,1,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,25.31,91.116,0.192,3.037,0.061,0.329,71.0,79.0,-0.131,0.061,0.192,17.083000000000002,yorker,knee,5.166666666666667,5.166666666666667,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.5.2,IPL_Men,2,1.5.2,1,5,2,Harbhajan Singh,103,OFF_SPIN,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,25.815,92.93400000000001,0.027,5.586,-0.349,0.79,37.0,26.0,-0.376,0.349,0.027,14.534,full,hip,5.333333333333333,5.333333333333333,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,2
IPL_Men_2_1.5.3,IPL_Men,2,1.5.3,1,5,3,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,25.815,92.93400000000001,0.027,5.586,-0.349,0.79,29.0,75.0,-0.376,0.349,0.027,14.534,full,hip,5.5,5.5,A,powerplay,Kookaburra_Pink,1,2.0,2,2,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,3
IPL_Men_2_1.5.4,IPL_Men,2,1.5.4,1,5,4,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,,,,,,,39.0,61.0,,,,,unknown,unknown,5.666666666666667,5.666666666666667,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,0,0,0,0,,,,,,,,,,,,,,,,4
IPL_Men_2_1.5.5,IPL_Men,2,1.5.5,1,5,5,Harbhajan Singh,103,OFF_SPIN,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,25.581,92.0916,0.08,7.033,-0.308,0.957,75.0,57.0,-0.388,0.308,0.08,13.087,full,waist,5.833333333333333,5.833333333333333,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,5
IPL_Men_2_1.5.6,IPL_Men,2,1.5.6,1,5,6,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,25.581,92.0916,-0.262,2.171,-0.416,0.434,31.0,29.0,-0.15399999999999997,0.416,0.262,17.949,yorker,knee,6.0,6.0,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,6
IPL_Men_2_1.6.1,IPL_Men,2,1.6.1,1,6,1,James Franklin,209,SEAM,0.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_LA,33.044,118.9584,0.173,10.26,-0.108,1.322,88.0,50.0,-0.28099999999999997,0.108,0.173,9.860000000000001,good_length,chest,6.166666666666667,6.166666666666667,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,False,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.6.2,IPL_Men,2,1.6.2,1,6,2,James Franklin,209,SEAM,0.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_LA,32.068,115.4448,0.115,4.967,-0.009,0.63,14.0,45.0,-0.124,0.009,0.115,15.153000000000002,yorker,hip,6.333333333333333,6.333333333333333,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,False,1,1,1,1,,,,,,,,,,,,,,,,2
IPL_Men_2_1.6.3,IPL_Men,2,1.6.3,1,6,3,James Franklin,209,SEAM,0.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_LA,33.632,121.0752,0.334,11.119,0.29,1.276,30.0,30.0,-0.04400000000000004,0.29,0.334,9.001000000000001,short_of_length,chest,6.5,6.5,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,False,1,1,1,1,,,,,,,,,,,,,,,,3
IPL_Men_2_1.6.4,IPL_Men,2,1.6.4,1,6,4,James Franklin,209,SEAM,0.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_LA,,,,,,,68.0,36.0,,,,,unknown,unknown,6.666666666666667,6.666666666666667,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,False,0,0,0,0,,,,,,,,,,,,,,,,4
IPL_Men_2_1.6.5,IPL_Men,2,1.6.5,1,6,5,James Franklin,209,SEAM,0.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_LA,32.561,117.2196,0.115,3.258,0.057,0.387,0.0,0.0,-0.058,0.057,0.115,16.862000000000002,yorker,knee,6.833333333333333,6.833333333333333,A,middle,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,c Harbhajan Singh b James Franklin,False,False,1,1,1,1,,,,,,,,,,,,,,,,5
IPL_Men_2_1.6.6,IPL_Men,2,1.6.6,1,6,6,James Franklin,209,SEAM,0.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_LA,33.358,120.08879999999999,0.354,9.498,0.308,0.964,5.0,5.0,-0.045999999999999985,0.308,0.354,10.622000000000002,good_length,waist,7.0,7.0,A,middle,Kookaburra_Pink,1,4.0,0,0,Lb,0,0,1,0,,True,False,1,1,1,1,,,,,,,,,,,,,,,,6
IPL_Men_2_1.7.1,IPL_Men,2,1.7.1,1,7,1,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Dwayne Bravo,25,LH_vs_RA,25.581,92.0916,-0.143,5.287,-0.43,0.571,5.0,5.0,-0.28700000000000003,0.43,0.143,14.833000000000002,yorker,hip,7.166666666666667,7.166666666666667,A,middle,Kookaburra_Pink,1,1.0,0,1,Wd,1,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.7.2,IPL_Men,2,1.7.2,1,7,2,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Dwayne Bravo,25,LH_vs_RA,24.634,88.6824,0.209,5.977,0.066,0.901,86.0,28.0,-0.143,0.066,0.209,14.143,full,waist,7.333333333333333,7.333333333333333,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.7.3,IPL_Men,2,1.7.3,1,7,3,Harbhajan Singh,103,OFF_SPIN,1.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_RA,24.42,87.912,0.046,5.436,-0.175,0.773,45.0,38.0,-0.22099999999999997,0.175,0.046,14.684000000000001,yorker,hip,7.5,7.5,A,middle,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,True,True,1,1,1,1,,,,,,,,,,,,,,,,2
IPL_Men_2_1.7.4,IPL_Men,2,1.7.4,1,7,4,Harbhajan Singh,103,OFF_SPIN,1.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_RA,24.325,87.57,0.104,5.36,-0.207,0.746,5.0,5.0,-0.311,0.207,0.104,14.760000000000002,yorker,hip,7.666666666666667,7.666666666666667,A,middle,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,True,True,1,1,1,1,,,,,,,,,,,,,,,,3
IPL_Men_2_1.7.5,IPL_Men,2,1.7.5,1,7,5,Harbhajan Singh,103,OFF_SPIN,1.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_RA,25.17,90.61200000000001,-0.016,4.134,-0.217,0.587,45.0,83.0,-0.201,0.217,0.016,15.986,yorker,hip,7.833333333333333,7.833333333333333,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,True,True,1,1,1,1,,,,,,,,,,,,,,,,4
IPL_Men_2_1.7.6,IPL_Men,2,1.7.6,1,7,6,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Dwayne Bravo,25,LH_vs_RA,,,,,,,5.0,5.0,,,,,unknown,unknown,8.0,8.0,A,middle,Kookaburra_Pink,1,1.0,0,1,Wd,1,0,0,0,,False,True,0,0,0,0,,,,,,,,,,,,,,,,5
IPL_Men_2_1.7.7,IPL_Men,2,1.7.7,1,7,7,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Dwayne Bravo,25,LH_vs_RA,,,,,,,16.0,42.0,,,,,unknown,unknown,8.166666666666666,8.166666666666666,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,0,0,0,0,,,,,,,,,,,,,,,,5
IPL_Men_2_1.7.8,IPL_Men,2,1.7.8,1,7,8,Harbhajan Singh,103,OFF_SPIN,1.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_RA,26.447,95.2092,0.295,4.898,0.093,0.493,87.0,44.0,-0.20199999999999999,0.093,0.295,15.222000000000001,yorker,knee,8.333333333333334,8.333333333333334,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,True,True,1,1,1,1,,,,,,,,,,,,,,,,6
IPL_Men_2_1.8.1,IPL_Men,2,1.8.1,1,8,1,James Franklin,209,SEAM,0.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_LA,33.039,118.94040000000001,-0.005,8.092,-0.323,0.863,37.0,42.0,-0.318,0.323,0.005,12.028,good_length,waist,8.166666666666666,8.166666666666666,A,middle,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,True,False,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.8.2,IPL_Men,2,1.8.2,1,8,2,James Franklin,209,SEAM,0.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_LA,,,,,,,86.0,27.0,,,,,unknown,unknown,8.333333333333334,8.333333333333334,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,True,False,0,0,0,0,,,,,,,,,,,,,,,,2
IPL_Men_2_1.8.3,IPL_Men,2,1.8.3,1,8,3,James Franklin,209,SEAM,0.0,Suresh Raina,14,0.0,Dwayne Bravo,25,LH_vs_LA,33.242,119.6712,0.57,8.093,0.544,1.095,14.0,66.0,-0.025999999999999912,0.544,0.57,12.027000000000001,good_length,waist,8.5,8.5,A,middle,Kookaburra_Pink,1,4.0,4,4,,0,0,0,0,,False,False,1,1,1,1,,,,,,,,,,,,,,,,3
IPL_Men_2_1.8.4,IPL_Men,2,1.8.4,1,8,4,James Franklin,209,SEAM,0.0,Suresh Raina,14,0.0,Dwayne Bravo,25,LH_vs_LA,34.174,123.0264,0.466,6.789,0.446,0.864,85.0,55.0,-0.020000000000000018,0.446,0.466,13.331000000000001,full,waist,8.666666666666666,8.666666666666666,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,False,1,1,1,1,,,,,,,,,,,,,,,,4
IPL_Men_2_1.8.5,IPL_Men,2,1.8.5,1,8,5,James Franklin,209,SEAM,0.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_LA,32.698,117.7128,-0.089,5.009,-0.274,0.555,44.0,93.0,-0.18500000000000003,0.274,0.089,15.111,yorker,hip,8.833333333333334,8.833333333333334,A,middle,Kookaburra_Pink,1,4.0,4,4,,0,0,0,0,,True,False,1,1,1,1,,,,,,,,,,,,,,,,5
IPL_Men_2_1.8.6,IPL_Men,2,1.8.6,1,8,6,James Franklin,209,SEAM,0.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_LA,34.113,122.8068,-0.222,6.175,-0.663,0.912,13.0,68.0,-0.44100000000000006,0.663,0.222,13.945,full,waist,9.0,9.0,A,middle,Kookaburra_Pink,1,4.0,4,4,,0,0,0,0,,True,False,1,1,1,1,,,,,,,,,,,,,,,,6
IPL_Men_2_1.9.1,IPL_Men,2,1.9.1,1,9,1,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Dwayne Bravo,25,LH_vs_RA,25.672,92.4192,0.053,5.327,-0.187,0.737,5.0,5.0,-0.24,0.187,0.053,14.793000000000001,yorker,hip,9.166666666666666,9.166666666666666,A,middle,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.9.2,IPL_Men,2,1.9.2,1,9,2,Harbhajan Singh,103,OFF_SPIN,1.0,Suresh Raina,14,0.0,Dwayne Bravo,25,LH_vs_RA,27.354,98.4744,-0.203,1.914,-0.366,0.387,15.0,45.0,-0.16299999999999998,0.366,0.203,18.206,full_toss,knee,9.333333333333334,9.333333333333334,A,middle,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,2
IPL_Men_2_1.9.3,IPL_Men,2,1.9.3,1,9,3,Harbhajan Singh,103,OFF_SPIN,1.0,Dwayne Bravo,25,1.0,Suresh Raina,14,RH_vs_RA,,,,,,,35.0,39.0,,,,,unknown,unknown,9.5,9.5,A,middle,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,True,True,0,0,0,0,,,,,,,,,,,,,,,,3
