bowler_id,bowler_name,bowling_style,is_right_armed,career_deliveries,career_wide_rate,career_no_ball_rate,formats_played,career_avg_speed_kmh,career_speed_std,career_speed_min,career_speed_max,career_speed_q25,career_speed_q75,career_speed_samples,career_speed_cv,career_avg_pitch_x,career_avg_pitch_y,career_pitch_x_std,career_pitch_y_std,career_avg_stumps_x,career_avg_stumps_y,career_avg_lateral_swing,career_swing_std,career_traj_samples,dtype_pct_full,dtype_pct_full_toss,dtype_pct_good_length,dtype_pct_short,dtype_pct_short_of_length,dtype_pct_unknown,dtype_pct_yorker,avg_speed_death,avg_speed_mid,avg_speed_pp
25,Dwayne Bravo,MEDIUM_SEAM,1.0,3426,0.04437,0.00204,IPL_Men,124.84903,11.97928,43.5312,148.4244,115.5087,133.0965,3050.0,0.096,-0.15772,6.22725,0.39965,2.95897,-0.00028,0.72234,0.15745,0.25738,2925.0,0.32312,0.07939,0.14536,0.00409,0.07093,0.11675,0.26036,124.66126,125.17571,124.51695
26,Albie Morkel,SEAM,0.0,723,0.04703,0.00277,IPL_Men,131.62762,8.31227,88.992,150.1884,129.312,136.5156,636.0,0.0631,-0.29992,7.7496,0.24547,2.18588,-0.1142,0.84387,0.18571,0.22901,630.0,0.36238,0.01245,0.34993,0.00692,0.05394,0.0982,0.11618,129.36217,130.81873,133.17184
27,Kumar Sangakkara,OFF_SPIN,1.0,6,0.0,0.0,IPL_Men,85.6488,7.59489,80.8092,100.8648,81.6282,84.4569,6.0,0.0887,-0.19467,4.69617,0.47611,4.20278,-0.59667,0.48283,-0.402,0.39884,6.0,0.0,0.5,0.33333,0.0,0.0,0.0,0.16667,85.6488,86.56654,88.28374
29,Akshath Reddy,SEAM,0.0,19,0.0,0.05263,IPL_Men,106.90939,15.52019,83.8332,132.5808,96.8238,120.1806,19.0,0.1452,-0.35588,6.65947,0.37399,2.92818,-0.28476,0.56782,0.07112,0.24225,17.0,0.21053,0.10526,0.36842,0.0,0.0,0.05263,0.26316,101.33031,118.9974,128.92869
30,Amit Mishra,LEG_SPIN,1.0,4256,0.00963,0.0054,IPL_Men,83.71843,6.73138,65.772,147.0312,79.308,87.174,3702.0,0.0804,-0.10313,4.69818,0.27238,1.23452,-0.10832,0.63468,-0.00519,0.27323,3694.0,0.20982,0.01198,0.00587,0.0,0.00047,0.09868,0.67317,82.05625,85.3842,85.1778
31,Anand Rajan,SEAM,0.0,127,0.05512,0.00787,IPL_Men,127.38129,8.36586,101.7504,139.482,125.6004,133.1397,126.0,0.0657,-0.27013,7.42807,0.26498,2.26986,-0.08736,0.78528,0.18277,0.18784,122.0,0.35433,0.0,0.37795,0.00787,0.02362,0.0315,0.20472,125.74332,127.45496,129.66897
32,Ankit Sharma,SEAM,0.0,375,0.02133,0.0,IPL_Men,90.12252,4.4881,78.84,125.8236,87.6726,91.9656,355.0,0.0498,-0.16047,5.29955,0.25342,1.22408,-0.07828,0.64234,0.08219,0.14562,355.0,0.424,0.00533,0.00533,0.0,0.0,0.02667,0.53867,91.29338,90.01606,89.73982
34,Ashish Reddy,SEAM,0.0,251,0.0239,0.00398,IPL_Men,114.4125,12.67643,83.502,140.2344,100.9584,123.9948,235.0,0.1108,-0.31677,6.27762,0.31758,2.48581,-0.20072,0.66531,0.11605,0.18481,226.0,0.31474,0.05179,0.251,0.0,0.01594,0.0757,0.29084,111.08105,116.79559,128.92869
38,Ishant Sharma,FAST_SEAM,1.0,10327,0.00775,0.01394,IPL_Men,134.94144,5.08286,22.8096,151.3476,132.552,138.0564,8481.0,0.0377,-0.18115,7.29722,0.3744,1.85535,0.00257,0.85736,0.18372,0.26753,8447.0,0.49298,0.00581,0.19125,0.00029,0.04619,0.16229,0.10119,134.7943,135.01541,135.30563
40,Manpreet Gony,SEAM,1.0,341,0.04399,0.00587,IPL_Men,132.91871,6.84669,101.6424,147.114,130.5288,137.1456,329.0,0.0515,-0.20191,8.07638,0.23933,2.46219,-0.02353,0.92132,0.17838,0.18294,323.0,0.29912,0.01466,0.41642,0.01466,0.08504,0.03226,0.13783,131.13434,133.52817,133.50209
41,Shikhar Dhawan,OFF_SPIN,1.0,55,0.01818,0.0,IPL_Men,85.67631,5.11874,75.1428,95.8644,82.2492,90.1224,39.0,0.0597,-0.03813,4.47646,0.31667,1.59089,0.03985,0.63062,0.07797,0.15178,39.0,0.18182,0.05455,0.0,0.0,0.0,0.23636,0.52727,83.7774,86.32118,85.2066
45,Virender Sehwag,OFF_SPIN,1.0,36,0.0,0.0,IPL_Men,82.55677,3.7141,71.316,87.588,81.0486,84.7908,23.0,0.045,0.01878,4.6493,0.28324,1.36242,0.02513,0.57009,0.00635,0.13966,23.0,0.13889,0.0,0.0,0.0,0.0,0.33333,0.52778,85.67964,82.55677,88.28374
47,Ajit Agarkar,FAST_SEAM,1.0,153,0.04575,0.0,IPL_Men,130.87355,6.13543,112.4424,141.1632,129.5496,134.5707,144.0,0.0469,-0.30874,8.48245,0.22961,2.59466,-0.12292,0.81838,0.18582,0.1807,139.0,0.19608,0.03922,0.47712,0.00654,0.11111,0.0915,0.07843,129.35994,131.41617,135.56306
48,Ashok Dinda,SEAM,1.0,1053,0.03894,0.01235,IPL_Men,133.60243,7.62509,87.984,145.332,132.12,137.754,993.0,0.0571,-0.23577,6.97658,0.31348,3.18014,-0.10056,0.73044,0.13521,0.22533,944.0,0.25831,0.07597,0.2735,0.0,0.09972,0.08737,0.20513,131.89419,133.48625,135.35877
49,Irfan Pathan,MEDIUM_SEAM,0.0,885,0.01695,0.0,IPL_Men,126.65954,9.39103,53.3448,143.784,125.2566,132.2028,794.0,0.0741,0.02019,7.14883,0.28811,2.28409,-0.11739,0.73531,-0.13758,0.21763,772.0,0.3774,0.02712,0.32203,0.00452,0.02147,0.09718,0.15028,125.51171,125.21423,129.48546
53,Pawan Negi,ORTHODOX,0.0,733,0.02319,0.0,IPL_Men,90.26422,5.32347,71.9784,102.5136,86.4594,94.6494,667.0,0.059,-0.07735,5.13781,0.28701,1.49668,-0.01512,0.63588,0.06223,0.20713,665.0,0.34106,0.01774,0.03411,0.0,0.0,0.06685,0.54025,91.1322,90.02382,90.39335
57,Shahbaz Nadeem,ORTHODOX,0.0,1667,0.0144,0.0072,IPL_Men,89.87318,6.98223,73.2852,138.1608,85.1256,94.4856,1461.0,0.0777,-0.11095,5.25058,0.26629,1.32909,-0.04676,0.64526,0.06419,0.21607,1455.0,0.38032,0.021,0.0156,0.0,0.0,0.10558,0.4775,87.38348,89.96316,92.75568
59,Umesh Yadav,FAST_SEAM,1.0,9167,0.02116,0.00196,IPL_Men,138.55384,6.07737,58.1508,151.5636,136.5408,141.966,8225.0,0.0439,-0.14116,7.59283,0.34536,2.24369,-0.00678,0.84196,0.13438,0.25574,8116.0,0.37253,0.01473,0.33424,0.00185,0.06153,0.08694,0.12818,137.98585,138.85948,139.375
61,Varun Aaron,SEAM,1.0,1126,0.05773,0.00799,IPL_Men,138.82448,8.55711,89.6292,153.0648,136.5039,144.198,940.0,0.0616,-0.17316,7.90679,0.36473,2.84353,-0.06602,0.88501,0.10714,0.24207,911.0,0.22735,0.03197,0.33837,0.00533,0.11723,0.15542,0.12433,137.5973,138.76791,140.20546
62,Venugopal Rao,SEAM,0.0,24,0.0,0.0,IPL_Men,86.42823,2.95008,81.7884,91.512,84.1356,88.7328,19.0,0.0341,0.00832,4.61874,0.24321,1.35862,0.04684,0.58916,0.03853,0.27356,19.0,0.29167,0.0,0.0,0.0,0.0,0.0,0.70833,124.25422,85.9398,87.26554
64,Yogesh Nagar,SEAM,0.0,7,0.14286,0.0,IPL_Men,89.72383,2.74703,86.5836,94.1328,87.948,91.1664,7.0,0.0306,-0.32529,6.14971,0.14641,0.76532,0.02929,0.58214,0.35457,0.09924,7.0,0.85714,0.0,0.0,0.0,0.0,0.0,0.14286,124.25422,89.72383,128.92869
65,Adam Gilchrist,OFF_SPIN,1.0,1,0.0,0.0,IPL_Men,85.76454,4.76166,70.4754,101.4408,83.2446,88.5663,253.5,0.0577,-0.08388,4.67617,0.31081,1.21174,0.02247,0.65099,0.08884,0.23035,252.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.67964,86.56654,88.28374
66,Abhishek Nayar,SEAM,0.0,56,0.03571,0.0,IPL_Men,113.64446,9.02129,95.7276,131.2308,106.3656,120.7044,53.0,0.0794,-0.18302,7.22494,0.40354,1.9498,-0.08166,0.75664,0.10136,0.23734,53.0,0.51786,0.01786,0.28571,0.0,0.0,0.03571,0.14286,103.13537,115.24367,128.92869
68,Bhargav Bhatt,SEAM,0.0,131,0.00763,0.00763,IPL_Men,89.12514,4.57145,77.4072,100.2384,86.3199,92.0142,126.0,0.0513,-0.01171,4.62752,0.24148,1.36676,-0.00106,0.63308,0.01065,0.17335,126.0,0.29771,0.0458,0.0,0.0,0.0,0.01527,0.64122,91.32784,89.11276,86.63696
69,Bipul Sharma,SEAM,0.0,298,0.01342,0.0,IPL_Men,82.81033,5.19488,67.0716,128.3472,79.6734,84.9096,259.0,0.0627,-0.18656,5.17437,0.18717,1.0711,-0.05374,0.67253,0.13282,0.16137,259.0,0.35235,0.00671,0.0,0.0,0.0,0.11074,0.5302,83.2272,83.11801,80.78503
70,Harmeet Singh Bansal,SEAM,0.0,192,0.02604,0.01562,IPL_Men,118.68064,10.79114,80.4024,134.4096,113.1111,126.4365,160.0,0.0909,-0.17319,7.20619,0.26038,2.63372,-0.03774,0.75253,0.13545,0.23197,152.0,0.35938,0.01562,0.17188,0.0,0.10938,0.10417,0.23958,112.91425,120.12343,124.77918
72,Mandeep Singh,SEAM,1.0,32,0.0625,0.0,IPL_Men,112.29307,12.50252,88.4808,128.6676,105.6096,123.6024,25.0,0.1113,-0.33004,5.93524,0.3422,2.41362,-0.26616,0.58448,0.06388,0.2163,25.0,0.5,0.09375,0.125,0.0,0.0,0.125,0.15625,112.02552,112.35996,128.92869
75,Paul Valthaty,SEAM,0.0,6,0.0,0.0,IPL_Men,113.184,3.038,107.172,115.434,113.6052,114.8193,6.0,0.0268,-0.5,6.061,0.15353,2.74127,-0.38283,0.53533,0.11717,0.07359,6.0,0.16667,0.0,0.33333,0.0,0.0,0.0,0.5,124.25422,113.184,128.92869
76,Piyush Chawla,LEG_SPIN,1.0,2556,0.00782,0.00274,IPL_Men,88.48921,6.57837,73.9512,129.6,84.7332,90.9936,2391.0,0.0743,-0.18551,4.95654,0.25709,1.39268,-0.09202,0.64544,0.09348,0.22031,2385.0,0.30282,0.01252,0.01761,0.0,0.00039,0.03991,0.62676,88.00406,88.35489,91.09047
77,Praveen Kumar,SEAM,1.0,1479,0.0453,0.0,IPL_Men,125.1961,6.6481,89.316,141.4584,123.9012,129.15,1340.0,0.0531,-0.17371,6.7133,0.31128,2.69767,-0.09424,0.6954,0.07947,0.28302,1310.0,0.33604,0.07776,0.31034,0.00609,0.01826,0.08316,0.16836,124.6309,124.18313,125.63726
78,Rajagopal Sathish,SEAM,0.0,62,0.03226,0.0,IPL_Men,100.55501,12.72011,81.2232,125.7012,90.4329,113.2515,56.0,0.1265,-0.0878,6.35575,0.3473,2.08334,0.12562,0.66111,0.21342,0.23789,55.0,0.43548,0.03226,0.17742,0.0,0.01613,0.03226,0.30645,98.70375,101.94345,128.92869
82,Vikramjeet Malik,SEAM,0.0,80,0.025,0.0,IPL_Men,126.00677,8.19799,98.802,137.7576,125.7579,130.4235,76.0,0.0651,-0.3097,7.64646,0.26752,1.74599,-0.08303,0.83689,0.22667,0.26136,76.0,0.5625,0.0,0.3125,0.0,0.0375,0.0125,0.075,124.25422,124.96604,126.35368
83,Ramesh Powar,SEAM,0.0,18,0.0,0.0,IPL_Men,82.4788,6.45843,68.8572,91.0944,78.1749,87.5826,18.0,0.0783,-0.33165,4.26859,0.26675,1.38435,-0.10924,0.58176,0.22241,0.22868,17.0,0.22222,0.05556,0.0,0.0,0.0,0.05556,0.66667,124.25422,83.1003,81.2358
84,Gautam Gambhir,LEG_SPIN,1.0,12,0.0,0.0,IPL_Men,74.17755,7.5464,64.5264,84.96,69.6834,77.4108,8.0,0.1017,-0.102,2.93414,0.52412,1.67758,-0.07129,0.65471,0.03071,0.16116,7.0,0.08333,0.33333,0.08333,0.0,0.0,0.08333,0.41667,74.17755,86.51212,88.8083
85,Iqbal Abdulla,SEAM,0.0,569,0.03163,0.0,IPL_Men,90.46028,4.71164,71.784,106.1892,88.2432,92.8764,545.0,0.0521,-0.152,5.22444,0.28121,1.34726,-0.12579,0.60443,0.0262,0.1645,544.0,0.4464,0.01933,0.00527,0.0,0.0,0.01406,0.51494,92.24163,89.94898,90.76599
86,Jaydev Unadkat,MEDIUM_SEAM,0.0,1918,0.02138,0.00052,IPL_Men,124.93309,9.39807,86.7096,141.6168,117.0333,132.5745,1608.0,0.0752,0.06207,7.72264,0.38711,2.25895,-0.15904,0.86665,-0.22111,0.31817,1578.0,0.35141,0.01825,0.34411,0.00886,0.0438,0.15016,0.08342,122.20664,124.98864,128.04201
87,Lakshmipathy Balaji,SEAM,0.0,710,0.03662,0.00141,IPL_Men,127.09762,7.31726,101.2356,148.3704,125.1855,131.7051,662.0,0.0576,-0.3593,7.3976,0.34224,2.51694,-0.07616,0.77315,0.28314,0.22274,645.0,0.37887,0.04507,0.33099,0.00141,0.06479,0.05775,0.12113,124.92263,127.48331,128.52808
88,Laxmi Ratan Shukla,SEAM,0.0,88,0.02273,0.0,IPL_Men,127.80857,7.74916,104.3244,141.4512,125.1378,132.471,79.0,0.0606,-0.22149,6.74596,0.28077,2.32967,-0.01028,0.70691,0.21121,0.19569,76.0,0.43182,0.02273,0.14773,0.0,0.04545,0.13636,0.21591,128.5374,127.41901,129.5883
89,Manoj Tiwary,SEAM,1.0,25,0.04,0.0,IPL_Men,82.348,7.76215,76.572,107.6904,77.8536,84.0654,18.0,0.0943,-0.00578,5.63967,0.43885,1.47656,-0.3065,0.63667,-0.30072,0.37022,18.0,0.32,0.0,0.08,0.0,0.0,0.24,0.36,84.9348,81.35308,128.92869
91,Pradeep Sangwan,SEAM,0.0,198,0.02525,0.00505,IPL_Men,134.68515,6.56639,107.5176,146.0232,132.5943,138.6882,190.0,0.0488,0.12122,7.89641,0.31098,2.48304,-0.07775,0.86409,-0.19897,0.22742,186.0,0.29293,0.02525,0.42929,0.0,0.10101,0.0303,0.12121,131.60871,132.74705,136.32387
92,Rajat Bhatia,SEAM,1.0,1102,0.0127,0.00181,IPL_Men,103.27984,9.81156,80.3772,130.608,95.4972,112.5702,1036.0,0.095,-0.13999,5.99062,0.21923,1.8273,-0.02234,0.60069,0.11765,0.1593,1021.0,0.54991,0.0363,0.09165,0.0,0.00091,0.04356,0.27768,103.72123,103.16897,128.92869
93,Sarabjit Ladda,SEAM,0.0,24,0.0,0.0,IPL_Men,83.08534,10.60365,64.0584,101.0628,75.7674,89.2638,23.0,0.1276,-0.01713,4.72922,0.21777,1.30747,-0.005,0.58696,0.01213,0.17171,23.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.83333,86.31,81.94722,128.92869
94,Mohammad Shami,FAST_SEAM,1.0,11445,0.01547,0.0021,IPL_Men,137.47154,4.95948,20.2392,153.2448,135.576,140.4432,9067.0,0.0361,-0.10805,7.56509,0.36685,2.30447,-0.01811,0.84511,0.08994,0.29344,8980.0,0.36881,0.01267,0.23145,0.00192,0.0761,0.20061,0.10843,136.83849,137.87371,138.62377
96,Yusuf Pathan,SEAM,0.0,538,0.01859,0.0,IPL_Men,91.8985,6.13336,72.4356,125.6256,88.101,95.5701,458.0,0.0667,0.00011,5.39974,0.28696,1.47202,0.00745,0.67433,0.00734,0.25471,455.0,0.41636,0.01487,0.04089,0.0,0.0,0.04089,0.48699,89.82879,92.74355,92.56423
97,Sachin Tendulkar,OFF_SPIN,1.0,69,0.04348,0.0,IPL_Men,80.16914,6.09472,68.3136,103.212,76.4748,82.4454,63.0,0.076,0.14492,4.63945,0.39414,1.53736,0.10953,0.68411,-0.03539,0.4075,62.0,0.31884,0.02899,0.01449,0.0,0.0,0.05797,0.57971,80.16914,86.56654,88.28374
98,Abu Nechim,MEDIUM_SEAM,1.0,220,0.01818,0.01818,IPL_Men,134.90154,4.90075,110.9052,142.9308,133.9407,137.745,172.0,0.0363,-0.12376,6.99392,0.38499,2.66334,-0.04636,0.73389,0.0774,0.2508,168.0,0.27273,0.02727,0.28182,0.0,0.04545,0.17727,0.19545,133.39006,135.56278,135.78216
100,Ambati Rayudu,OFF_SPIN,1.0,105,0.01905,0.0,IPL_Men,85.51557,5.006,76.8924,97.6824,82.0386,88.0686,71.0,0.0585,0.14294,4.53261,0.21901,1.38981,0.03154,0.6487,-0.1114,0.1454,70.0,0.15238,0.00952,0.00952,0.0,0.0,0.30476,0.52381,85.51557,86.56654,88.28374
101,Dhawal Kulkarni,MEDIUM_SEAM,1.0,1849,0.04002,0.00162,IPL_Men,130.57957,8.94761,69.4548,147.5568,129.8052,136.0503,1542.0,0.0685,-0.19596,7.5829,0.30521,2.4126,-0.02478,0.83088,0.17118,0.24092,1492.0,0.36344,0.03407,0.30611,0.00649,0.06165,0.15035,0.07788,129.11037,129.96572,131.74715
103,Harbhajan Singh,OFF_SPIN,1.0,3949,0.01494,0.00076,IPL_Men,88.94207,6.16913,68.3352,129.1572,84.6405,92.9394,3446.0,0.0694,-0.0814,4.9986,0.3229,1.16946,0.06829,0.72789,0.14969,0.25211,3430.0,0.28716,0.01494,0.00557,0.0,0.0,0.09597,0.59635,86.74184,89.74078,90.09648
104,Munaf Patel,SEAM,1.0,720,0.0125,0.00556,IPL_Men,129.62631,7.28916,98.9748,146.3796,127.512,134.1792,632.0,0.0562,-0.1389,7.1744,0.25618,2.19439,-0.05218,0.80105,0.08672,0.16762,614.0,0.47778,0.03889,0.3,0.00278,0.02083,0.05,0.10972,128.26196,130.50929,130.37295
105,Pawan Suyal,SEAM,0.0,107,0.06542,0.03738,IPL_Men,137.21737,4.41505,117.3816,144.6984,135.342,140.0472,95.0,0.0322,0.06978,7.37028,0.3172,3.33931,-0.14553,0.80302,-0.21531,0.21293,85.0,0.23364,0.07477,0.29907,0.01869,0.1028,0.11215,0.15888,135.6315,137.98097,137.65788
106,Pragyan Ojha,ORTHODOX,0.0,2488,0.00603,0.0004,IPL_Men,86.37334,5.51981,65.9952,139.9752,82.9764,89.1486,2367.0,0.0639,-0.065,4.62539,0.25374,1.08329,-0.09226,0.66866,-0.02726,0.18794,2363.0,0.18408,0.00723,0.00281,0.0,0.0,0.03497,0.7709,85.41229,87.76354,89.36192
107,Rohit Sharma,OFF_SPIN,1.0,364,0.00275,0.0,IPL_Men,86.49237,5.47957,69.1992,137.502,84.5388,88.6788,257.0,0.0634,-0.04492,4.55703,0.31909,1.20719,0.02466,0.67658,0.06958,0.22971,255.0,0.12912,0.01374,0.00549,0.0,0.0,0.25549,0.59615,86.33475,87.83507,88.28374
108,Suryakumar Yadav,SEAM,1.0,6,0.0,0.0,IPL_Men,91.734,6.80166,86.1012,104.8716,88.2099,92.0259,6.0,0.0741,0.20733,5.67467,0.09106,1.28029,0.02117,0.65933,-0.18617,0.10892,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,124.25422,123.17136,91.734
110,Tirumalasetti Suman,SEAM,0.0,12,0.0,0.0,IPL_Men,88.6359,3.29676,82.9404,94.6908,86.3703,91.3077,12.0,0.0372,-0.07875,5.13933,0.36947,1.26673,-0.01225,0.54583,0.0665,0.23174,12.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.66667,124.25422,87.279,89.9928
111,Yuzvendra Chahal,LEG_SPIN,1.0,4721,0.01716,0.00297,IPL_Men,85.03475,5.6806,61.6824,137.4336,81.4032,88.722,3933.0,0.0668,-0.02858,4.82538,0.2793,1.17962,-0.07214,0.66286,-0.04357,0.21974,3928.0,0.22453,0.00911,0.00487,0.0,0.0,0.14616,0.61534,83.17662,86.33619,88.56842
112,RP Singh,SEAM,0.0,587,0.04259,0.00852,IPL_Men,133.91503,4.46755,113.0868,144.0684,132.1416,136.4616,543.0,0.0334,0.10888,7.22048,0.26892,2.6425,-0.09441,0.81219,-0.20329,0.25012,522.0,0.29983,0.03066,0.3356,0.0017,0.05281,0.08688,0.1925,134.24907,133.10859,133.96604
113,Yuvraj Singh,ORTHODOX,0.0,1018,0.00982,0.0,IPL_Men,86.65545,6.63615,68.6088,106.6356,81.8757,90.4365,882.0,0.0766,-0.24575,5.05949,0.21112,1.57914,-0.12203,0.66424,0.12372,0.17914,878.0,0.33301,0.0275,0.03635,0.0,0.00098,0.04715,0.55501,85.52719,88.87779,86.95849
114,Ali Murtaza,SEAM,0.0,74,0.02703,0.0,IPL_Men,91.51369,4.02204,82.872,100.3608,88.389,93.9384,64.0,0.044,-0.07862,5.05319,0.39407,1.69301,-0.01473,0.56637,0.06389,0.1725,63.0,0.41892,0.06757,0.0,0.0,0.0,0.09459,0.41892,92.3112,92.09448,89.20723
115,Ashish Nehra,MEDIUM_SEAM,0.0,1397,0.02219,0.00215,IPL_Men,132.79195,6.41046,83.0484,178.0164,130.1256,136.8216,1277.0,0.0483,0.10313,7.49532,0.27423,2.33772,-0.11206,0.80632,-0.21519,0.22654,1230.0,0.37151,0.02577,0.33858,0.00072,0.05512,0.09019,0.11811,131.59371,131.84895,134.02185
116,Bhuvneshwar Kumar,MEDIUM_SEAM,1.0,10329,0.01956,0.00126,IPL_Men,130.86751,5.94583,57.726,147.7836,127.9404,134.8524,8729.0,0.0454,-0.22255,7.40598,0.30781,1.96042,-0.0299,0.79322,0.19264,0.26046,8602.0,0.46142,0.01656,0.26295,0.00436,0.02933,0.14416,0.08123,129.14076,131.07754,132.25339
